SIM_NUM,Profit,Cost,Revenue,Biomass,Harvest,GWP,ET,EUT,Elec
1,1.82,115.72,117.54,29.385091051830692,57.68861641656244,1001.3797729599352,12492.843062443097,0.28993266947241875,1271.5976657221308
2,1.56,115.98,117.54,29.385091051830692,57.68861641656244,1003.9647453400474,12521.357080490481,0.29091659642132295,1276.9861232104201
3,29.3,122.32,151.62,37.90450813944108,61.40744707834908,1059.058689199964,13134.635580293616,0.3117775782084624,1390.7828334989506
4,17.99,92.5,110.49,27.62370192296168,70.55727790441316,776.08758801864,10001.37565113453,0.20430571145071943,803.1808065485853
5,1.4,116.04,117.44,29.360799549988712,57.68861641656244,1004.5797076276176,12528.181696344878,0.2911498454414029,1278.260135519722
6,2.95,116.07,119.02,29.756080924225575,57.08379971838828,1001.4298701396322,12494.302622834202,0.28993718039170885,1271.5615259835902
7,1.81,115.72,117.53,29.381376418897812,57.68696561873121,1001.3758406375832,12492.761407488017,0.28993203418852187,1271.5976655448244
8,-2.45,119.99,117.54,29.385091051830692,57.68861641656244,1002.0304894865326,12505.88387056949,0.2901185596445183,1272.341514421602
9,2.11,115.43,117.54,29.385091051830692,57.68861641656244,998.4489876474727,12460.522520996663,0.2888169774307632,1265.4870301170029
10,1.13,116.15,117.28,29.31950185905267,57.647005933588545,1006.7389619170207,12552.038628988754,0.29196909930501913,1282.7367574602426
11,25.97,114.22,140.19,35.04746250309667,73.38806318607031,935.2358487805695,11768.435090922652,0.2647229756039732,1133.3740611486312
12,-0.39,108.82,108.43,27.1063434838485,70.05389819155619,889.2336762446274,11256.73769722899,0.24729425758911452,1038.2592650198633
13,22.82,128.34,151.16,37.788889152659024,60.77719193584598,1069.0456540996113,13252.262545018253,0.31549497861240156,1410.7725063909033
14,26.08,114.21,140.29,35.07175400493864,73.38806318607031,935.2108731508094,11768.11329984653,0.26471442856019184,1133.3311571350457
15,27.7,113.98,141.68,35.42035296047436,73.98021586877007,938.3020412448428,11801.482072809838,0.2658984768132121,1139.8487909372961
16,25.67,114.53,140.2,35.051183747816836,73.38962564059493,938.3458267398424,11802.778251597781,0.2659058840236911,1139.8487909372961
17,30.87,109.32,140.19,35.04746250309667,73.38806318607031,937.9807186924867,11791.506481175831,0.2658437188595083,1139.8487909372961
18,25.66,114.53,140.19,35.04746250309667,73.38806318607031,938.341520835461,11802.686747654596,0.2659051866036234,1139.8487909372964
19,27.37,113.61,140.98,35.24490516796229,73.29746121366281,928.8303764961322,11697.694950284083,0.26228699205834227,1120.0420420346031
20,25.66,114.53,140.19,35.04746250309667,73.38806318607031,938.3419320537068,11802.697319481964,0.26590525478865357,1139.8487909372961
21,60.64,116.69,177.33,44.33216115657022,70.35102017541624,987.2530416784524,12343.982972062717,0.2844386838950302,1241.0239460292157
22,60.64,116.69,177.33,44.33216115657022,70.35102017541624,987.2544924817422,12343.998975417919,0.2844392361192881,1241.0269702750109
23,-21.58,101.23,79.65,19.91142027841212,59.60780386553682,853.63229949355,10855.867383449928,0.23385885379706248,965.1715289134063
24,58.94,120.66,179.6,44.900049307340424,67.35154112509139,1024.532148537872,12757.405969043673,0.2985836396741816,1318.306189015685
25,60.55,116.74,177.29,44.322570596497016,70.35102017541624,987.7270774797313,12349.236253744097,0.2846186483276719,1242.007594582197
26,57.25,116.98,174.23,43.557085525447434,70.02277216505257,987.2459518270358,12344.137450769524,0.28443564372524155,1241.0041986421793
27,60.76,116.69,177.45,44.36201377273305,70.36333051899368,987.2790670551542,12344.5235641818,0.284442890091169,1241.0239612516136
28,64.36,112.97,177.33,44.33216115657022,70.35102017541624,986.3286732156452,12328.743930556355,0.2841399864898654,1239.6239484878513
29,59.58,117.75,177.33,44.33216115657022,70.35102017541624,997.9060670359529,12461.492502219633,0.28849359543481407,1263.2306489255475
30,64.07,116.75,180.82,45.20561555152271,70.68939258265047,987.068107935336,12342.215012681716,0.28436351101169544,1240.5924858295698
31,-22.59,100.46,77.87,19.466313263798796,56.147677612122735,874.4015168045136,11082.039465857579,0.24178328433606255,1008.6626024051229
32,62.69,117.32,180.01,45.002267387176545,67.37479220905973,1024.2231467407153,12749.632672733613,0.29850901599528995,1318.0905260605705
33,-21.02,98.29,77.27,19.316850364340162,59.31870084285494,853.9329924330776,10855.206938593312,0.23401329997082876,966.1962378600884
34,-22.56,100.46,77.9,19.475903823872002,56.147677612122735,874.4015667200096,11082.02593039433,0.2417835690653615,1008.6652528204662
35,-20.07,100.36,80.29,20.072476924992678,56.438484086371645,874.4381897193082,11082.414942085366,0.24179620890939146,1008.7297992582237
36,-22.65,100.46,77.81,19.45152705021352,56.140748310895546,874.3777956132473,11081.531645955132,0.241779803220356,1008.6659396103623
37,-25.82,103.69,77.87,19.466313263798796,56.147677612122735,875.2482292436079,11095.764878101638,0.24205934821456696,1009.9693732101798
38,-22.65,100.52,77.87,19.466313263798796,56.147677612122735,874.9450259799646,11088.029523185358,0.24199026662892678,1009.7965637021183
39,-22.19,99.95,77.76,19.440566567522318,56.143645988587465,869.4476303578497,11027.349012199142,0.23989837741819872,998.3429164125005
40,-22.59,100.46,77.87,19.466313263798796,56.147677612122735,874.4031218218369,11082.057170299326,0.24178389525933972,1008.6659481149959
41,-22.71,85.09,62.38,15.595490962695767,55.396394672986276,715.1341913221856,9323.417805719238,0.18120727990574226,677.1047559565648
42,-23.4,85.78,62.38,15.595490962695767,55.396394672986276,722.0913775160346,9400.160340462218,0.18385541767206334,691.6072327845926
43,15.9,109.55,125.45,31.361844025278458,62.600576219437855,949.9861424561032,11923.032467413266,0.2704176490861903,1164.9206857260704
44,-39.51,101.05,61.54,15.385666086175698,49.95483584630277,874.7860614545215,11085.825013830712,0.2419487706550036,1009.6429736030419
45,-21.72,84.22,62.5,15.62623735325382,55.396394672986276,706.3805884276222,9226.830970810819,0.1778759479720048,658.8631513734379
46,-31.56,87.81,56.25,14.0631517217944,53.94704035650784,716.0975275036791,9338.315425125977,0.1815218522967384,678.6016311456262
47,-22.73,85.09,62.36,15.590632143516668,55.394057514541856,715.1231844260557,9323.192701127859,0.18120542733590475,677.1040467763382
48,-25.34,87.72,62.38,15.595490962695767,55.396394672986276,721.6763154474671,9398.343492748096,0.18366832480521267,690.4534801005456
49,-22.71,85.09,62.38,15.595490962695767,55.396394672986276,715.1375149453476,9323.458991150786,0.18120845811087197,677.1108522985991
