SIM_NUM,Profit,Cost,Revenue,Biomass,Harvest,GWP,ET,EUT,Elec
1,68.06,99.73,167.79,41.94865575397945,73.95525674194435,848.5016218443345,11317.871597560981,0.2202796493333015,843.8390844649268
2,68.6,99.19,167.79,41.94865575397945,73.95525674194435,843.0640151077118,11257.891066312171,0.2182099143346344,832.504219549637
3,91.33,103.55,194.88,48.720588718120794,76.44571392921655,881.389786156503,11684.084092472185,0.23273037202910274,911.7488025946536
4,74.37,102.47,176.84,44.21101813997627,71.36833576237063,873.4185760937347,11595.269913624945,0.2297112197483252,895.2766236729376
5,70.81,97.14,167.95,41.988715465706264,73.95525674194435,822.4801391931576,11030.67100773953,0.2103784922968977,789.6297605039751
6,54.7,95.38,150.08,37.52073448966023,73.88086642923425,825.8988619963167,10901.68950172842,0.2153769665614571,831.9532230394374
7,6.85,98.82,105.67,26.418567322654653,67.80869540764522,796.3526741367656,10256.803767282581,0.21137660695595978,839.2827830418213
8,71.43,96.36,167.79,41.94865575397945,73.95525674194435,834.4969691315991,11160.623991892466,0.21497817031618688,814.9350151291317
9,60.93,106.86,167.79,41.94865575397945,73.95525674194435,920.5817016852993,12112.919141161352,0.24771668660186533,994.1013569310036
10,68.06,99.73,167.79,41.94865575397945,73.95525674194435,848.5016218443345,11317.871597560981,0.2202796493333015,843.8390844649268
11,16.01,104.66,120.67,30.16869037718481,67.2177885868353,907.3838705287056,11468.004976486936,0.25385702048264497,1072.8376749222768
12,1.28,103.26,104.54,26.134497250653972,65.41517694857416,896.2513021062763,11343.102861519377,0.24966174021529894,1050.0343189410992
13,14.84,103.29,118.13,29.53239838713178,70.40812570478073,895.5745076545405,11336.285363561965,0.2493913526014547,1048.5013145912726
14,14.62,105.89,120.51,30.12863066545799,67.2177885868353,919.622026533126,11603.079428402543,0.25851372243945075,1098.333676571096
15,18.21,109.7,127.91,31.976826930608865,66.57283140842284,917.1365107364727,11590.690584075144,0.2572983127621374,1090.565655064702
16,73.94,105.8,179.74,44.93396924859218,73.50026052115724,950.3424257193722,12275.819999549505,0.2626808242643612,1090.7663640598723
17,12.84,107.83,120.67,30.16869037718481,67.2177885868353,916.2796417573948,11569.316734991404,0.25720947617321677,1091.0483782512733
18,25.65,95.02,120.67,30.16869037718481,67.2177885868353,809.8596791188892,10392.25562890221,0.2167358496021934,869.5434609446783
19,15.16,105.51,120.67,30.16869037718481,67.2177885868353,915.9844876652892,11562.875681542795,0.2571307030345353,1090.765936040301
20,15.16,105.51,120.67,30.16869037718481,67.2177885868353,915.9844876652892,11562.875681542795,0.2571307030345353,1090.765936040301
21,131.71,134.59,266.3,66.57590624078847,73.92076675947098,1147.507578002161,14173.53829473797,0.34408626496951233,1562.2140563332368
22,131.71,134.59,266.3,66.57590624078847,73.92076675947098,1147.5096007982938,14173.560607566487,0.3440870349133781,1562.2182729163835
23,131.71,134.59,266.3,66.57590624078847,73.92076675947098,1147.507578002161,14173.53829473797,0.34408626496951233,1562.2140563332368
24,133.22,131.08,264.3,66.07489413552251,75.57925161367714,1114.8121764744672,13810.849858613947,0.33168236687643754,1494.4518424184957
25,131.64,134.6,266.24,66.55876244772486,73.92076675947098,1147.5129877841712,14173.654672273118,0.3440872051962454,1562.2146317474833
26,129.97,134.4,264.37,66.09244617052934,73.73965553146569,1147.4587055530444,14172.452631585107,0.34407690960847853,1562.2012366275349
27,281.35,136.21,417.56,104.39047368837521,87.18046436190915,1196.1836427103678,15184.355926569231,0.3519522942115426,1562.2359513317572
28,131.95,134.35,266.3,66.57590624078847,73.92076675947098,1147.4729364863986,14172.825857904627,0.34407656072062837,1562.1763581447767
29,130.74,135.56,266.3,66.57590624078847,73.92076675947098,1157.417684646946,14282.839314375498,0.34785866638454094,1582.8746993673233
30,131.98,134.67,266.65,66.66263274568092,73.93974920179176,1147.518632750594,14173.831387057111,0.3440881056489533,1562.2140563332398
31,272.17,133.42,405.59,101.39705955733096,88.05307282975285,1175.563764808783,14952.31867124966,0.34419399485192315,1520.1170183215356
32,271.31,134.28,405.59,101.39705955733096,88.05307282975285,1184.2267146631496,15047.876948928537,0.3474914033210794,1538.1752139806408
33,278.53,137.88,416.41,104.10207018688115,87.07613103473275,1216.55234732569,15408.434753609134,0.35971304885324673,1604.7708901380054
34,271.71,133.95,405.66,101.41420335039459,88.05307282975285,1180.9957742930787,15012.144480885305,0.346263538773456,1531.4587225353705
35,272.38,134.48,406.86,101.71557963062966,88.15425361034056,1184.2612615562748,15048.731253708222,0.34749710243413046,1538.1752139806408
36,130.05,132.83,262.88,65.72005450596009,75.43984505801964,1135.7463379955475,14041.137856188587,0.3396593896933354,1538.1752139806408
37,271.02,134.57,405.59,101.39705955733096,88.05307282975285,1184.2461641462594,15048.479518057993,0.34749471671461096,1538.1752139806408
38,273.39,132.2,405.59,101.39705955733096,88.05307282975285,1163.2410070207623,14816.408576685364,0.33950316894124155,1494.4262808639908
39,271.0,134.16,405.16,101.28991986229728,88.03563088550212,1184.2129500460367,15047.508040711062,0.34748910800975374,1538.175213980643
40,271.31,134.28,405.59,101.39705955733096,88.05307282975285,1184.2267146631496,15047.876948928537,0.3474914033210794,1538.1752139806408
41,24.8,101.43,126.23,31.556625770647006,67.40721597023608,895.5527592695815,11553.643264355462,0.2444808002059689,1001.8137553353522
42,24.8,101.43,126.23,31.556625770647006,67.40721597023608,895.5548431584451,11553.666251078695,0.24448159340377143,1001.818099268247
43,129.41,113.18,242.59,60.646916724857675,79.31958449325802,996.3648274160169,12680.4384337923,0.282551965344259,1209.0822011135513
44,27.25,109.79,137.04,34.258818067263704,58.81329202407578,974.3193655638062,12428.43966932987,0.2743383361066717,1164.8250104239946
45,24.96,101.42,126.38,31.595234160100855,67.40721597023608,895.5432084718271,11553.450021997407,0.244478969044149,1001.8110738947358
46,19.89,103.38,123.27,30.818039629277536,66.54951388118786,895.7777938102541,11559.283973269758,0.24452770448240682,1001.9027847359688
47,36.45,101.5,137.95,34.48700425364211,68.68093455254423,910.2198601836596,11857.941097216752,0.2468503248137946,1001.816425561636
48,23.28,102.95,126.23,31.556625770647006,67.40721597023608,895.801812879086,11558.475725457238,0.2445536204819011,1002.1150405813004
49,22.79,103.44,126.23,31.556625770647006,67.40721597023608,915.9378226640285,11778.502353459005,0.25224005760405244,1044.307275270341
50,28.12,100.87,128.99,32.24630865527081,67.69513367331841,889.3540917868364,11485.348867948422,0.24212050435706148,988.8837693069844
51,260.4,135.17,395.57,98.8929853469739,78.20344408765612,1145.4040092214948,14504.125699684337,0.3353781762679501,1482.5727294669296
52,85.2,115.85,201.05,50.26157608877083,62.92369714469217,996.4769213623186,12829.883741946847,0.27932047409919053,1178.141453723146
53,206.81,120.62,327.43,81.8578978134405,82.979762490844,1022.730305345918,13130.260061726935,0.28910804786604255,1230.9005735800206
54,258.59,136.83,395.42,98.85437695752006,78.20344408765612,1162.0206464840783,14687.631785075886,0.34169857657618274,1517.1681995365363
55,173.28,130.04,303.32,75.82888700667696,74.96042215024022,1148.8880256001187,14522.3795680398,0.33706568823641886,1493.30626478567
56,212.38,135.07,347.45,86.86332983509962,74.65215345947567,1135.3890364483489,14245.54096134409,0.3348967637050086,1493.3872589669718
57,262.92,132.65,395.57,98.8929853469739,78.20344408765612,1150.0728357959426,14551.47528267916,0.33719903609386237,1492.7387410094973
58,261.97,133.6,395.57,98.8929853469739,78.20344408765612,1129.4416015342517,14328.186785252157,0.329299511476475,1449.2714839243263
59,207.37,135.56,342.93,85.73314365042134,76.11479321311477,1156.736858072942,14621.89882983184,0.33984168428660233,1507.6267372644854
60,259.89,135.68,395.57,98.8929853469739,78.20344408765612,1150.5919985713733,14561.35277997741,0.3373528985401283,1493.3872589669718
61,243.82,136.76,380.58,95.14486135759222,79.31602107835228,1189.5013918829097,15110.479309079976,0.34943250099929385,1548.5250367566955
62,244.79,135.79,380.58,95.14486135759222,79.31602107835228,1179.728470353153,15002.677282637032,0.3457126001846337,1528.15306968864
63,32.24,110.68,142.92,35.730791234938415,58.49331795356859,980.2793714141436,12764.590756177822,0.2705583470540126,1119.6850699645959
64,206.64,123.31,329.95,82.4873704972514,83.84224216596391,1072.400407136143,13802.12752687462,0.30520197996371284,1307.6900939319767
65,242.93,137.51,380.44,95.10996712028178,79.31602107835228,1196.9091753269743,15192.360894808735,0.35224860157466625,1563.9329381396085
66,228.67,134.2,362.87,90.71812046261076,80.7470521093659,1189.0282673955264,15098.47174718235,0.3493628507821855,1548.6044425700745
67,154.61,135.65,290.26,72.56389754251128,72.040690454143,1154.6846146870037,14387.434898510266,0.3438078077937274,1548.5250367566955
68,243.36,137.22,380.58,95.14486135759222,79.31602107835228,1189.5602538426213,15111.770132251804,0.3494481441870812,1548.5807056261197
69,245.85,134.73,380.58,95.14486135759222,79.31602107835228,1168.884148730969,14883.085384520495,0.34158432952251555,1505.542386707392
70,209.68,136.26,345.94,86.48565872021187,78.611938907846,1192.1582518110565,15134.728119463565,0.35054431174102835,1555.0244557780236
71,13.62,90.27,103.89,25.97235856668378,63.416429618730206,758.8186422626198,9984.553570850905,0.1938360327914622,730.1042629696512
72,140.34,118.88,259.22,64.80552219268424,79.64249244366763,1017.7316658520331,12861.797943773869,0.29196061993277733,1265.7416583157567
73,3.39,106.55,109.94,27.4851833147345,55.82602946189726,921.1971543434797,11779.42055104107,0.25556288694454476,1067.826442509307
74,15.15,88.88,104.03,26.00725280399421,63.416429618730206,744.7429622686586,9829.230320037768,0.1884796080073413,700.7749763839804
75,-0.54,91.52,90.98,22.74430359699822,61.82590453724007,759.3760254749188,9991.748465209179,0.1940444234335759,731.2233469855926
76,36.31,90.5,126.81,31.701255789291274,65.92831203239558,793.211658235601,10692.701563820254,0.19951458176966003,731.2732865415923
77,13.97,89.92,103.89,25.97235856668378,63.416429618730206,757.9275807204331,9974.349971437103,0.19350081295119734,728.2859546336498
78,3.05,100.84,103.89,25.97235856668378,63.416429618730206,865.6276594377646,11162.722185044977,0.23449126297585726,952.7524701710472
79,4.14,101.29,105.43,26.357110653383273,63.77924116666242,868.757027635453,11197.627471805938,0.23567617742838923,959.2156173082418
80,13.62,90.27,103.89,25.97235856668378,63.416429618730206,758.814954456208,9984.512891817198,0.19383462908899368,730.0965756194001
81,29.69,88.27,117.96,29.48935337448176,60.69367902832168,788.3288945998612,10546.46636047737,0.19969514543977665,740.5106349519637
82,29.69,88.27,117.96,29.48935337448176,60.69367902832168,788.3277203931044,10546.453408171606,0.19969469849741062,740.5081872804758
83,221.17,125.32,346.49,86.62175065555357,82.89174790436539,1127.8467944633935,14323.336665141582,0.32827302997465957,1442.0027253097392
84,28.57,85.75,114.32,28.579868772642982,63.135080405561325,764.4492685552585,10281.418312964248,0.1906399551204506,691.0590890267001
85,28.33,89.47,117.8,29.450419806101074,60.69367902832168,800.3840359099453,10679.516185504071,0.2042821989160466,765.6253022805721
86,39.78,87.71,127.49,31.871381267447617,61.82840440043364,791.1033922713247,10575.807850981997,0.20076578583172955,746.4376942136578
