SIM_NUM,Profit,Cost,Revenue,Biomass,Harvest,GWP,ET,EUT,Elec
1,44.48,33.12,77.6,19.39952386,0,298.1242797,3774.058982,0.085777951,372.8214997
2,44.48,33.12,77.6,19.39952386,0,298.1250209,3774.067157,0.085778233,372.8230447
3,49.96,33.76,83.72,20.92942315,0,303.9486896,3839.039702,0.087979566,384.8162103
4,45.05,35.82,80.87,20.21773941,0,323.2064189,4052.73693,0.095283668,424.7109535
5,44.52,33.12,77.64,19.41097713,0,298.1233257,3774.039092,0.085777779,372.8213401
6,43.82,33.28,77.1,19.27580126,0,298.1397432,3774.494448,0.085780547,372.8214997
7,48.91,33.13,82.04,20.50923978,0,301.0599315,3834.9628,0.086252156,372.8214997
8,44.27,33.33,77.6,19.39952386,0,298.1388815,3774.511362,0.085780438,372.8214997
9,44.71,32.89,77.6,19.39952386,0,295.7740333,3748.130828,0.084883438,367.923
10,44.58,33.12,77.7,19.42443981,0,298.1249268,3774.06988,0.085778053,372.8214997
11,56.27,37,93.27,23.31785031,0,333.0947049,4192.141579,0.098371881,438.8927692
12,50.59,35.76,86.35,21.58766401,0,321.5189946,4063.48732,0.093985885,414.9547134
13,54.03,33.95,87.98,21.99394151,0,304.6436292,3875.842846,0.087593688,380.07459
14,56.22,37.01,93.23,23.30639704,0,333.096495,4192.172213,0.098372338,438.8943569
15,56.3,36.78,93.08,23.26999233,0,333.056567,4191.287475,0.098363491,438.8728371
16,50.59,36.99,87.58,21.8940698,0,330.1350387,4130.741329,0.097893635,438.8912792
17,56.51,36.76,93.27,23.31785031,0,333.0013458,4190.793806,0.098339697,438.7313812
18,56.21,37.06,93.27,23.31785031,0,333.7057413,4198.883056,0.098604433,440.1662187
19,56.29,37.02,93.31,23.32794436,0,333.0971426,4192.196294,0.098372433,438.8941865
20,56.27,37,93.27,23.31785031,0,333.0953848,4192.149079,0.09837214,438.8941865
21,30.49,34.21,64.7,16.17568619,0,292.9667922,3806.684815,0.081837208,343.2408679
22,30.6,34.1,64.7,16.17568619,0,291.8404185,3794.260141,0.081408473,340.892906
23,38.07,35.03,73.1,18.27436127,0,299.7963484,3883.190836,0.084413019,357.2504277
24,25.34,32.36,57.7,14.42400965,0,274.852799,3604.843121,0.074986826,305.9046785
25,30.57,34.16,64.73,16.18334093,0,292.4952477,3801.476701,0.081657867,342.2592941
26,32.55,34.25,66.8,16.69925658,0,296.1305978,3872.327072,0.082348677,343.2445699
27,17.92,34.13,52.05,13.01288818,0,282.0160295,3579.456295,0.080068261,343.2408679
28,31.05,33.65,64.7,16.17568619,0,292.8739667,3804.907397,0.081809818,343.1260985
29,30.49,34.21,64.7,16.17568619,0,292.9659301,3806.666296,0.081837069,343.2408679
30,31.98,34.21,66.19,16.54841993,0,292.7962083,3805.000404,0.081768207,342.8464114
31,22.53,32.36,54.89,13.72279691,0,269.1490517,3446.181745,0.074968627,314.4994816
32,17.43,31.65,49.08,12.27124159,0,263.1020248,3378.773117,0.072680998,302.0287876
33,25.95,34.35,60.3,15.07589522,0,287.9759071,3655.741188,0.08209453,353.3611275
34,22.56,32.3,54.86,13.71514217,0,268.5643637,3439.738268,0.074745949,313.2794772
35,22.36,32.15,54.51,13.62720153,0,267.056798,3412.95195,0.074399612,312.3018404
36,35.43,32.31,67.74,16.93535332,0,281.1276662,3704.97385,0.076672319,312.299126
37,22.13,32.76,54.89,13.72279691,0,268.2177118,3436.598204,0.074606857,312.4860026
38,22.64,32.25,54.89,13.72279691,0,268.0939853,3434.548769,0.074566924,312.299126
39,21.99,32.27,54.26,13.56597736,0,268.3589957,3437.391943,0.074669393,312.8668176
40,22.64,32.25,54.89,13.72279691,0,268.0934883,3434.538157,0.074566844,312.299126
41,50.83,34.87,85.7,21.42523345,0,307.7273789,3910.796943,0.08875656,386.3954137
42,51.08,34.62,85.7,21.42523345,0,305.2602431,3883.582744,0.087817486,381.2525903
43,6.46,27.51,33.97,8.492956004,0,240.6327648,3164.091612,0.063354174,247.8336291
44,51.98,35.63,87.61,21.9026209,0,314.8051464,3989.592323,0.091435478,401.0050031
45,50.78,34.89,85.67,21.41728938,0,307.9716915,3913.498797,0.08884941,386.903314
46,53.79,34.37,88.16,22.03935779,0,307.6976953,3909.824344,0.088751458,386.3954137
47,31.26,34.81,66.07,16.5182755,0,299.360911,3737.199534,0.087405077,386.3954137
48,51.02,34.68,85.7,21.42523345,0,307.7140422,3910.383757,0.088754288,386.3954137
49,50.83,34.87,85.7,21.42523345,0,307.7273789,3910.796943,0.08875656,386.3954137
50,52.03,34.9,86.93,21.73268831,0,307.7431489,3911.15194,0.088759132,386.3954137
51,-1.19,27.06,25.87,6.468318239,0,232.9386356,2998.688904,0.062233393,248.9979537
52,35.77,34.71,70.48,17.62072424,0,304.0325364,3788.559782,0.089177739,396.084386
53,-0.77,26.45,25.68,6.419016363,0,226.9044857,2931.946752,0.059940442,236.4562758
54,-0.85,26.76,25.91,6.476262308,0,229.9558827,2965.78493,0.061098102,242.7807373
55,-3.58,27.1,23.52,5.878975412,0,230.168965,2968.520383,0.06117583,243.1909161
56,6.43,26.81,33.24,8.310284968,0,238.5836819,3141.00288,0.062576874,243.5903704
57,-1.08,26.95,25.87,6.468318239,0,230.5255016,2972.247332,0.061313008,243.9492102
58,-0.93,26.8,25.87,6.468318239,0,230.3344455,2969.962902,0.061242151,243.5694364
59,1.47,27.12,28.59,7.147209953,0,233.3502179,3003.296666,0.062388787,249.84376
60,-0.93,26.8,25.87,6.468318239,0,230.3344455,2969.962902,0.061242151,243.5694364
61,1.58,31.8,33.38,8.346006045,0,274.1433984,3444.747839,0.078117772,336.7944544
62,1.58,31.8,33.38,8.346006045,0,274.1440015,3444.754492,0.078118002,336.7957115
63,23.48,38.34,61.82,15.4539235,0,334.1829876,4111.581455,0.10087882,461.0695826
64,1.73,31.66,33.39,8.346808377,0,272.8095624,3429.987003,0.077611038,334.0232873
65,1.55,31.83,33.38,8.34410254,0,274.378021,3447.336571,0.078207064,337.2834074
66,-1.69,32.11,30.42,7.60491618,0,274.0607923,3444.091304,0.078085945,336.6167205
67,19.37,31.84,51.21,12.80257169,0,287.5241185,3722.272132,0.080281168,336.8130598
68,1.19,32.19,33.38,8.346006045,0,274.5576875,3449.797595,0.078270407,337.6079146
69,1.58,31.8,33.38,8.346006045,0,274.1433984,3444.747839,0.078117772,336.7944544
70,3.85,31.82,35.67,8.918467828,0,274.099196,3444.311617,0.078100155,336.6946487
71,54.02,38.53,92.55,23.13707438,0,339.2058302,4300.054172,0.099806614,443.1433816
72,20.16,32.56,52.72,13.18074317,0,286.5069817,3712.144129,0.079883081,334.5840072
73,54.11,38.77,92.88,23.21994748,0,341.3514308,4323.88856,0.100619809,447.5826309
74,54.03,38.53,92.56,23.13897788,0,339.1483991,4299.418243,0.099784804,443.0241418
75,56.69,38,94.69,23.67196913,0,339.1856895,4299.146564,0.099805418,443.1661059
