Impact category,Unit,"Electricity, medium voltage {US}| market group for electricity, medium voltage | Cut-off, U","Heat, district or industrial, natural gas {GLO}| market group for heat, district or industrial, natural gas | Cut-off, U","Carbon dioxide, liquid {RoW}| market for carbon dioxide, liquid | Cut-off, U","Tap water {GLO}| market group for tap water | Cut-off, U","Ammonium nitrate {RoW}| market for ammonium nitrate | Cut-off, U","Inorganic potassium fertiliser, as K2O {US}| market for inorganic potassium fertiliser, as K2O | Cut-off, U","Inorganic phosphorus fertiliser, as P2O5 {US}| market for inorganic phosphorus fertiliser, as P2O5 | Cut-off, U","Inorganic nitrogen fertiliser, as N {US}| market for inorganic nitrogen fertiliser, as N | Cut-off, U","Magnesium oxide {GLO}| market for magnesium oxide | Cut-off, U","Stone wool, packed {GLO}| market for stone wool, packed | Cut-off, U","Polypropylene, granulate {GLO}| market for polypropylene, granulate | Cut-off, U",Runoff water
Ozone depletion,kg CFC-11 eq,1.86126E-09,1.17353E-09,5.79825E-09,1.5412E-10,2.4909E-08,2.0397E-08,2.784E-08,5.1553E-08,1.1199E-08,3.4568E-08,9.0903E-08,0
Global warming,kg CO2 eq,0.479724,0.042841592,0.82075459,0.000827657,2.6049372,2.1048024,3.1091282,5.3062642,2.0530894,1.4738413,2.9666027,0
Smog,kg O3 eq,0.012171094,0.000910422,0.11899204,5.19423E-05,0.070767173,0.12823156,0.19503727,0.22319831,0.069468754,0.077700462,0.1261437,0
Acidification,kg SO2 eq,0.001111142,3.58796E-05,0.002487332,3.8288E-06,0.008380043,0.009722544,0.015698054,0.019235443,0.005198984,0.009934522,0.010768216,0
Carcinogenics,CTUh,6.9391E-08,3.42708E-09,2.01597E-07,2.18775E-09,3.90338E-07,7.2649E-07,8.52874E-07,1.27876E-06,3.87359E-07,2.89164E-07,7.21695E-07,0
Non carcinogenics,CTUh,1.28809E-07,1.34902E-09,2.82967E-07,4.74232E-10,4.99284E-07,8.70001E-07,1.42168E-06,1.66244E-06,4.01551E-06,3.71661E-07,7.26286E-07,0
Respiratory effects,kg PM2.5 eq,0.001172108,3.61953E-06,0.000631208,1.11953E-06,0.000891502,0.001512056,0.003075529,0.002879025,0.001577858,0.00135327,0.001536216,0
Ecotoxicity,CTUe,5.2916847,0.1044496,17.026259,0.033478067,33.279943,58.974044,84.878796,112.65077,106.0968,21.638375,39.856998,0
Freshwater eutrophication,kg P eq,0.000182599,4.71407E-07,0.000132578,2.2502E-07,0.000196182,0.000262943,0.000464199,0.000475879,0.000282512,0.00021731,0.000394765,0.0098376
Marine eutrophication,kg N eq,0.000122661,7.84788E-06,0.000297001,4.6845E-07,0.001810802,0.001793505,0.002654111,0.00352,0.000618835,0.001021766,0.001079186,0.019687285
